model|fold|auc_roc|time_sec
logreg|0|0.7829|14.46
logreg|1|0.7857|16.75
logreg|2|0.7892|16.65
logreg|3|0.7872|18.25
logreg|4|0.7854|18.49
random_forest|0|0.7146|39.35
random_forest|1|0.7169|36.67
random_forest|2|0.7171|33.2
random_forest|3|0.718|36.36
random_forest|4|0.7158|36.56
random_forest_svd|0|0.7015|226.23
random_forest_svd|1|0.7076|209.42
random_forest_svd|2|0.7058|205.69
random_forest_svd|3|0.7099|208.61
random_forest_svd|4|0.7085|206.82
xgboost_classifier|0|0.7596|39.18
xgboost_classifier|1|0.7624|39.91
xgboost_classifier|2|0.7639|38.53
xgboost_classifier|3|0.7643|38.26
xgboost_classifier|4|0.7599|38.2
