model|fold|auc_roc|time_sec
logreg|0|0.8813|0.45
logreg|1|0.8774|0.58
logreg|2|0.8778|0.44
logreg|3|0.8768|0.55
logreg|4|0.8815|0.46
xgboost_classifier|0|0.8682|1.85
xgboost_classifier|1|0.8616|2.01
xgboost_classifier|2|0.8634|1.69
xgboost_classifier|3|0.8647|1.73
xgboost_classifier|4|0.8753|1.65
xgboost_classifier_with_numeric|0|0.9208|2.69
xgboost_classifier_with_numeric|1|0.9196|2.95
xgboost_classifier_with_numeric|2|0.9174|2.81
xgboost_classifier_with_numeric|3|0.9198|2.92
xgboost_classifier_with_numeric|4|0.9193|2.79
xgboost_classifier_with_features2d|0|0.9198|6.13
xgboost_classifier_with_features2d|1|0.9204|6.02
xgboost_classifier_with_features2d|2|0.9173|6.26
xgboost_classifier_with_features2d|3|0.9183|6.02
xgboost_classifier_with_features2d|4|0.9191|6.26
