model|fold|auc_roc|time_sec
decision_tree_gini|0|0.8751|16.84
decision_tree_gini|1|0.8681|16.86
decision_tree_gini|2|0.8671|16.91
decision_tree_gini|3|0.871|16.25
decision_tree_gini|4|0.8623|17.49
decision_tree_entropy|0|0.8811|16.68
decision_tree_entropy|1|0.871|16.55
decision_tree_entropy|2|0.8748|17.92
decision_tree_entropy|3|0.8724|19.35
decision_tree_entropy|4|0.8749|25.67
random_forest|0|0.9718|50.06
random_forest|1|0.9678|45.93
random_forest|2|0.9676|56.47
random_forest|3|0.9672|36.87
random_forest|4|0.9656|56.59
